filename,artist,title,year,label,subtitle
" JPL - Marina Macumba (Voodoo House Mix)  GERMANY 1991 House.flac",JPL,Marina Macumba (Voodoo House Mix),1991,,
" Rise - Which Way (New Direction Mix)  UK 1991 House.flac",Rise,Which Way (New Direction Mix),1991,,
"06 Wind, Wave & Wineglass.mp3",,"Wind, Wave & Wineglass",,,
19⧸06⧸1993.mp3,,19⧸06⧸1993,1993,,
2025.flac,,2025,2025,,
4.FX - Touchez Moi (G.Freaks Lounge Mix).flac,FX,Touchez Moi (G.Freaks Lounge Mix),,,
400 blows - movin (instrumental version).flac,400 blows,movin (instrumental version),,,
A - Doi-Oing - Bosh! (Unanimous Bosh).flac,Doi-Oing,Bosh! (Unanimous Bosh),,,
A Certain Ratio - Yeah Boy (Sons Of Samarkand Remix).flac,A Certain Ratio,Yeah Boy (Sons Of Samarkand Remix),,,
A2 - Octave One - Paradise.flac,Octave One,Paradise,,,
ASHRR ＂Please Don't Stop The Rain＂ (Ron Trent Dub).flac,ASHRR,Please Don't Stop The Rain (Ron Trent Dub),,,
Africa (Flute Mix).mp3,,Africa (Flute Mix),,,
Airto (Eat Static Featuring Will White & Stuart Zender Remix).mp3,,Airto (Eat Static Featuring Will White & Stuart Zender Remix),,,
Alias Brown - Dreams (Part Two).flac,Alias Brown,Dreams (Part Two),,,
All That I Do (Ace of Club Mix).mp3,,All That I Do (Ace of Club Mix),,,
Amida    Amitabha Mix 1.mp3,,Amida Amitabha Mix 1,,,
An Ocean of Dreams.mp3,,An Ocean of Dreams,,,
"Anie's Group - Love Has Gone (Germany, 1981).flac",Anie's Group,Love Has Gone ,1981,,
Aphreme - Beneath The Windy Trees.flac,Aphreme,Beneath The Windy Trees,,,
Applemountain - Yes Yes Yes (Dance Mix) (ca. 1992) (a.k.a. Everything I Have Is Yours).flac,Applemountain,Yes Yes Yes (Dance Mix) (a.k.a. Everything I Have Is Yours),1992,,
Aqua.mp3,,Aqua,,,
Are You Feeling.mp3,,Are You Feeling,,,
Atila - Intencion II [Spain] Prog (1976).flac,Atila,Intencion II,1976,,
Black & Blue (Original Mix).flac,,Black & Blue (Original Mix),,,
"Blue Feather - Shadows Of The Night (Instrumental Version) (Netherlands, 1985).flac",Blue Feather,Shadows Of The Night (Instrumental Version),1985,,
Blue Mauritio╭ ╯In The Mood.mp3,Blue Mauritio,In The Mood,,,
Bonnie & Klein ＂Diamante (Hal Incandenza's Mentireta Remix)＂.mp3,Bonnie & Klein,Diamante (Hal Incandenza's Mentireta Remix),,,
"Breath Of Life Quartet - Your Face I Soon Will See [US] Soul, Gospel (1979).flac",Breath Of Life Quartet,Your Face I Soon Will See ,1979,,
Brochure - Joking.flac,Brochure,Joking,,,
Chocolate Weasel - Reworked From Scratch Backwards (Starring Alvano as Joey Salami).flac,Chocolate Weasel,Reworked From Scratch Backwards (Starring Alvano as Joey Salami),,,
Chris Rea - Josephine 1989.flac,Chris Rea,Josephine,1989,,
Close - She.flac,Close,She,,,
Closer.mp3,,Closer,,,
Cola Nha Terra.mp3,,Cola Nha Terra,,,
"Comox - Sunrise Suite [Canada] Psych Folk, Easy Listening (1974).flac",Comox,Sunrise Suite,1974,,
Connective Zone - Function.flac,Connective Zone,Function,,,
Corujo & Sandoval - Nora.flac,Corujo & Sandoval,Nora,,,
Cosmic Police (Edit).mp3,,Cosmic Police (Edit),,,
Curiosity  - Relax (Take It Slow) (Pianophone Dub).flac,Curiosity,Relax (Take It Slow) (Pianophone Dub),,,
D Code - Reggae Bus.flac,D Code,Reggae Bus,,,
D J M E T A T R O N.mp3,,D J M E T A T R O N,,,
D.T.M.A. - Tomorrow (Dino And Terry Dub).flac,D.T.M.A.,Tomorrow (Dino And Terry Dub),,,
Dark and Deep.mp3,,Dark and Deep,,,
Dates on Skates.mp3,,Dates on Skates,,,
Dawn Again ＂Outerspace Indoors feat Lochie Thompson＂.mp3,Dawn Again,Outerspace Indoors feat Lochie Thompson,,,
Debbie French - Get That Feeling (Single Mix).flac,Debbie French,Get That Feeling (Single Mix),,,
Deborah Sasson – Rendezvous.flac,Deborah Sasson,Rendezvous,,,
Demis Roussos - Midnight Is The Time I Need You.flac,Demis Roussos,Midnight Is The Time I Need You,,,
Denis Farley - Pony Express.flac,Denis Farley,Pony Express,,,
"Denny Fast - Tuesday Morning Monday's Feeling Gone [US] Psych Folk, Easy Listening (1975).flac",Denny Fast,Tuesday Morning Monday's Feeling Gone,1975,,
Der Assistent - Klinik unter Palmen (Official Video).flac,Der Assistent,Klinik unter Palmen ,,,
Doi-oing - Bosh ⧸ good feeling - Music video (remix) [upscaled and in Stereo].flac,Doi-oing,Bosh ⧸ good feeling,,,
Done With You.mp3,,Done With You,,,
Double Ingredient Ft Roberta Gold - Happyness Is Just Around The Bend (Extended).flac,Double Ingredient Ft Roberta Gold,Happyness Is Just Around The Bend (Extended),,,
Dubital Feat. Mad Professor - Handypad (Glove Mix).flac,Dubital Feat. Mad Professor,Handypad (Glove Mix),,,
Echoland – Silk Purse (Red Silver Mix) [Vocal].flac,Echoland,Silk Purse (Red Silver Mix),,,
Ego-Tool.flac,,Ego-Tool,,,
Electropsy Voice 12inch mix.mp3,,Electropsy Voice 12inch mix,,,
Eugene McDaniels - Cherrystones.flac,Eugene McDaniels,Cherrystones,,,
Ever Changing Bubbles (Deep88 Balearic Mix).mp3,Ever,Changing Bubbles (Deep88 Balearic Mix),,,
Everybody's Kissing Everyone.mp3,,Everybody's Kissing Everyone,,,
Evolve Now - Dream (Subdued Mix).flac,Evolve Now,Dream (Subdued Mix),,,
"Exo Fender - Big Mood (45 Version) (Canada, 1987).flac",Exo Fender,Big Mood (45 Version) ,1987,,
Faithless feat. Dido - One Step Too Far (Alex Neri Club Instrumental).flac,Faithless feat. Dido,One Step Too Far (Alex Neri Club Instrumental),,,
Feelings.mp3,,Feelings,,,
Ferrucci - The Sermon (M.F. Mix).flac,Ferrucci,The Sermon (M.F. Mix),,,
Fluke – The Bells (Mix 2) (12＂).flac,Fluke,The Bells (Mix 2) (12＂),,,
Francesco.mp3,,Francesco,,,
Gene Douglas╭ ╯ 88.mp3,Gene Douglas,88,,,
Get Nasty (Night Club Mix).flac,,Get Nasty (Night Club Mix),,,
Gigi Flag - ＂Nymphomaniac＂ (French 80s synth-pop).flac,Gigi Flag,Nymphomaniac,,,
Gilles Elbaz - Le Bal Masqué [France] Psych Folk (1970).flac,Gilles Elbaz,Le Bal Masqué,1970,,
Giuliano Sorgini - Desolazione.flac,Giuliano Sorgini,Desolazione,,,
Golden Shot (Omformer 'Energy Cycle' Mix).mp3,,Golden Shot (Omformer 'Energy Cycle' Mix),,,
Grey Area - 2 The Rhythm.flac,Grey Area,2 The Rhythm,,,
Grey Light.mp3,,Grey Light,,,
Happy Water – Love (Happy Water Mix).flac,Happy Water,Love (Happy Water Mix),,,
Havana - Love Is All Around.flac,Havana,Love Is All Around,,,
He's A Skull.mp3,,He's A Skull,,,
Hedgehog Affair   Rush Till Dawn   We Told You.flac,Hedgehog Affair,Rush Till Dawn We Told You,,,
Herb Wilborn Jr - Been So Long.flac,Herb Wilborn Jr,Been So Long,,,
Here (Now) (A 2020 Space Disco Odyssey).mp3,,Here (Now) (A Space Disco Odyssey),2020,,
Hi Ryze - Ride The Rhythm.flac,Hi Ryze,Ride The Rhythm,,,
Homies   Paraíso.mp3,,Homies Paraíso,,,
House ＂E＂ Delic - The Singing Saw (Club 69 Magic Mix).flac,House ＂E＂ Delic,The Singing Saw (Club 69 Magic Mix),,,
Hoverist ＂Palace＂.mp3,Hoverist,Palace,,,
I'm On To You (Instrumental) - Blue Pearl.flv.flac,Blue Pearl,I'm On To You (Instrumental),,,
Identification Unknown (Longhair Remix).mp3,,Identification Unknown (Longhair Remix),,,
International Foot Language   Life On Loop Metallic Loops Of Fuz.mp3,International Foot Language,Life On Loop Metallic Loops Of Fuz,,,
JFC： No Matter What [HQ⧸HD].mp3,JFC,Matter What,,,
"Jay Ray – Sunrise (Germany, 1999).flac",Jay Ray,Sunrise,1999,,
Jon Anderson   Speed Deep (The Deep Forest Remix) (1995).mp3,Jon Anderson,Anderson Speed Deep (The Deep Forest Remix),1995,,
Judy B. - Thank You (Instrumental).flac,Judy B.,Thank You (Instrumental),,,
Kabuki femme fatale (Jita Sensation Remix).mp3,Kabuki,femme fatale (Jita Sensation Remix),,,
Kid Simius ＂300 Million Stars＂.mp3,Kid Simius,300 Million Stars,,,
Kornelije Kovač Get It Right Boy (Sampled Moonlight).mp3,Kornelije Kovač,Get It Right Boy (Sampled Moonlight),,,
Kozuma.mp3,,Kozuma,,,
LINDA WILLIAM'S ＂Chien et loup＂ (Version longue).mp3,LINDA WILLIAM'S,Chien et loup (Version longue),,,
La Variété ： J'écoute une K7 de la vedette.mp3,La Variété,J'écoute une K7 de la vedette,,,
Lava Love (Delicate Mix).flac,Lava,Love (Delicate Mix),,,
Le salaire du rappeur   Charles Henry.mp3,Charles Henry,Le salaire du rappeur,,,
Leadership - Dub Session.flac,Leadership,Dub Session,,,
