filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label,genre,subgenre,dataset,extraction_date
blink-182 - What's My Age Again？ (Official Music Video).flac,146.40185941043083,0.42505209396282834,0.006199262907577324,0.14682236313819885,0.0,2425.5460221102544,0.0,0.0,0.0,5031.533746692138,0.0,0.1224985071261497,0.0,0.0,0.0,0.0,0.0,161.4990234375,-69.5742416381836,0.0,91.13477325439453,0.0,-6.87584114074707,0.0,25.684179306030273,0.0,9.200895309448242,0.0,8.045515060424805,0.0,1.9144304990768433,0.0,7.875103950500488,0.0,1.6598501205444336,0.0,5.244351863861084,0.0,-4.362462997436523,0.0,3.6623992919921875,0.0,-5.595707893371582,0.0,104.1095199584961,0.0,36.19445037841797,0.0,18.48626136779785,0.0,11.605192184448242,0.0,13.708544731140137,0.0,10.170419692993164,0.0,7.438680648803711,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:12.080826
blink-182 - All The Small Things (Official Music Video).flac,170.597052154195,0.42329661796490353,0.01172979943309226,0.22021286189556122,0.0,2478.7546905702375,0.0,0.0,0.0,5312.727378384212,0.0,0.1154850278136908,0.0,0.0,0.0,0.0,0.0,151.99908088235293,-28.188783645629883,0.0,84.16926574707031,0.0,-1.7446610927581787,0.0,30.68283462524414,0.0,2.141657829284668,0.0,13.252168655395508,0.0,6.542603969573975,0.0,10.000850677490234,0.0,2.3877766132354736,0.0,9.260061264038086,0.0,-0.10777383297681808,0.0,6.261351108551025,0.0,-2.4098336696624756,0.0,87.25067138671875,0.0,28.76710319519043,0.0,19.56929588317871,0.0,14.335022926330566,0.0,9.842825889587402,0.0,8.600048065185547,0.0,8.349992752075195,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:13.092295
Blur - Song 2 (Official Music Video).flac,122.52013605442177,0.4197477822502454,0.004387567738117394,0.1827848255634308,0.0,2473.5358613101944,0.0,0.0,0.0,5019.268455310191,0.0,0.12147256816136062,0.0,0.0,0.0,0.0,0.0,129.19921875,-59.54606246948242,0.0,77.2173843383789,0.0,-11.825916290283203,0.0,36.68894958496094,0.0,2.255070924758911,0.0,3.8165159225463867,0.0,-0.23608440160751343,0.0,6.687678337097168,0.0,-4.746697902679443,0.0,-3.875755786895752,0.0,-1.3300831317901611,0.0,0.10309170186519623,0.0,-10.388317108154297,0.0,130.9169464111328,0.0,25.573562622070312,0.0,14.172647476196289,0.0,12.099043846130371,0.0,12.026369094848633,0.0,7.826374053955078,0.0,8.252391815185547,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:13.497024
Eagle-Eye Cherry - Save Tonight.flac,189.33555555555554,0.4683808659513791,0.001861683272061111,0.14658008515834808,0.0,2089.8721248081065,0.0,0.0,0.0,4531.338477400751,0.0,0.07937243734671981,0.0,0.0,0.0,0.0,0.0,117.45383522727273,-89.59126281738281,0.0,95.6156005859375,0.0,-4.370908737182617,0.0,42.351924896240234,0.0,12.045533180236816,0.0,11.526347160339355,0.0,3.492713451385498,0.0,11.348844528198242,0.0,2.5283586978912354,0.0,5.682198524475098,0.0,-0.43487459421157837,0.0,1.2479898929595947,0.0,-1.5008171796798706,0.0,70.46530151367188,0.0,24.35573959350586,0.0,19.35112190246582,0.0,14.95138168334961,0.0,11.287919044494629,0.0,8.889780044555664,0.0,8.153067588806152,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:15.687054
Beastie Boys - Sabotage (Official Music Video).flac,183.17065759637188,0.4610820735494296,0.014671424841276622,0.23856881260871887,0.0,1940.622802774899,0.0,0.0,0.0,4197.478831036491,0.0,0.07997346235660413,0.0,0.0,0.0,0.0,0.0,112.34714673913044,-50.94562530517578,0.0,100.93269348144531,0.0,-8.841324806213379,0.0,31.329450607299805,0.0,1.9897273778915405,0.0,16.3641300201416,0.0,5.166738510131836,0.0,9.475213050842285,0.0,1.3379374742507935,0.0,6.475518703460693,0.0,5.546003341674805,0.0,4.954837799072266,0.0,-0.08428270369768143,0.0,127.85042572021484,0.0,28.5671443939209,0.0,25.719223022460938,0.0,13.63272762298584,0.0,10.157514572143555,0.0,10.013041496276855,0.0,7.101009845733643,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:16.013265
Blind Melon - No Rain.flac,246.96748299319728,0.32805625597635907,0.008382573585319734,0.13575345277786255,0.0,1910.6409949234287,0.0,0.0,0.0,3785.9124272145577,0.0,0.09151144369300555,0.0,0.0,0.0,0.0,0.0,151.99908088235293,-131.02647399902344,0.0,108.10237884521484,0.0,-14.136362075805664,0.0,27.108060836791992,0.0,9.248394012451172,0.0,1.8195178508758545,0.0,-3.3817648887634277,0.0,3.1895337104797363,0.0,-6.369003772735596,0.0,-1.1265405416488647,0.0,-5.190135955810547,0.0,-1.4903627634048462,0.0,-7.847394943237305,0.0,100.60247039794922,0.0,28.5155086517334,0.0,26.65275764465332,0.0,17.752885818481445,0.0,16.724708557128906,0.0,13.889274597167969,0.0,10.853343963623047,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:16.613100
Blur - Girls And Boys (Official Music Video).flac,253.1207709750567,0.4138384237885475,0.0030836862527872286,0.19842536747455597,0.0,2651.615801001599,0.0,0.0,0.0,5672.0149744062155,0.0,0.1250052402225509,0.0,0.0,0.0,0.0,0.0,117.45383522727273,-40.050777435302734,0.0,80.07770538330078,0.0,-2.894122362136841,0.0,19.218595504760742,0.0,5.374882221221924,0.0,8.178909301757812,0.0,0.36405983567237854,0.0,4.627397537231445,0.0,-4.8409600257873535,0.0,5.917156219482422,0.0,3.006599187850952,0.0,5.633482456207275,0.0,-3.847341775894165,0.0,85.03116607666016,0.0,24.070941925048828,0.0,22.453968048095703,0.0,14.599381446838379,0.0,13.153656959533691,0.0,9.290318489074707,0.0,9.093513488769531,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:17.426730
Blues Traveler - Hook (Official Music Video).flac,258.5542403628118,0.3532917747894923,0.005673853700445979,0.26383984088897705,0.0,2226.175112638948,0.0,0.0,0.0,4680.562492896771,0.0,0.09636754003064386,0.0,0.0,0.0,0.0,0.0,83.35433467741936,-33.91594696044922,0.0,92.60425567626953,0.0,-7.936430931091309,0.0,36.33922576904297,0.0,9.703109741210938,0.0,6.937634468078613,0.0,2.038693904876709,0.0,6.665741920471191,0.0,-0.8196031451225281,0.0,6.629879951477051,0.0,-1.8657267093658447,0.0,-1.4525402784347534,0.0,-0.41947850584983826,0.0,53.266414642333984,0.0,25.149765014648438,0.0,20.725757598876953,0.0,14.664107322692871,0.0,12.477537155151367,0.0,10.08162784576416,0.0,10.612669944763184,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:18.649139
Counting Crows - Mr. Jones (Official Music Video).flac,269.4443990929705,0.37080437193314236,0.0058574889261904925,0.13248534500598907,0.0,2139.56489998798,0.0,0.0,0.0,4528.279537544431,0.0,0.09803728188280914,0.0,0.0,0.0,0.0,0.0,143.5546875,-93.0184326171875,0.0,109.0985336303711,0.0,-4.954031944274902,0.0,7.24647855758667,0.0,2.1531107425689697,0.0,1.9556479454040527,0.0,-2.0895652770996094,0.0,5.295140266418457,0.0,-0.3181624114513397,0.0,0.609556257724762,0.0,-2.5694336891174316,0.0,-0.18600822985172272,0.0,-0.8693130612373352,0.0,77.72692108154297,0.0,28.480716705322266,0.0,21.0505313873291,0.0,13.258682250976562,0.0,11.207453727722168,0.0,10.017804145812988,0.0,9.40750503540039,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:19.062869
Deep Blue Something - Breakfast At Tiffany's (Official Music Video).flac,253.99151927437643,0.3974421372016271,0.011429295381867667,0.2131756693124771,0.0,2405.9963951330187,0.0,0.0,0.0,5315.1126327675065,0.0,0.10190066790840113,0.0,0.0,0.0,0.0,0.0,112.34714673913044,-46.735252380371094,0.0,86.89262390136719,0.0,6.9802775382995605,0.0,31.206382751464844,0.0,15.024124145507812,0.0,2.9698777198791504,0.0,-0.7864578366279602,0.0,5.05839729309082,0.0,-1.0306978225708008,0.0,6.382197380065918,0.0,-4.558310031890869,0.0,2.3752918243408203,0.0,-5.183109283447266,0.0,91.91100311279297,0.0,25.70073890686035,0.0,21.450775146484375,0.0,12.056468963623047,0.0,10.482556343078613,0.0,10.315742492675781,0.0,8.700162887573242,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:19.576298
