mfcc,zero_crossing_rate,spectral_centroid,spectral_rolloff,spectral_contrast,chroma,tempo,key,energy,valence,danceability,file_path,duration,length,sample_rate,genre,subgenre,label,filename,dataset,extraction_date
"[-30.221403121948242, 51.9183464050293, 11.195657730102539, 29.18659210205078, 13.738710403442383, 12.912893295288086, -5.0504961013793945, 13.050475120544434, -3.2375059127807617, 3.860374927520752, -5.062044620513916, 1.1417138576507568, -2.941957950592041, 103.1640853881836, 23.25054359436035, 22.851858139038086, 13.279434204101562, 11.795493125915527, 12.97616195678711, 8.642131805419922, 8.612481117248535, 8.802619934082031, 7.595636367797852, 7.371230602264404, 6.9905805587768555, 6.3296427726745605]",0.1689681838768116,3353.150864118696,6945.828643002717,"[18.658960117835317, 15.425533498119897, 17.76568874641126, 18.032897746034426, 19.762767749081767, 17.88679550480733, 47.685806667990896]","[0.42300862073898315, 0.4034620523452759, 0.5009226202964783, 0.3613142967224121, 0.38540172576904297, 0.45377111434936523, 0.5175169706344604, 0.6286240816116333, 0.3798266351222992, 0.369575560092926, 0.34870004653930664, 0.4318578541278839]",99.38401442307692,G,0.22758257389068604,1.0,0.4,/Users/alessandro/Music/personal_dataset/reggae/two-tone/14. Madness - The Prince (2009 Remaster).flac,200.26666666666668,200.26666666666668,22050,reggae,two-tone,reggae_two-tone,14. Madness - The Prince (2009 Remaster).flac,personal,2025-09-20 14:47:07.173728
"[-111.7723388671875, 80.67227935791016, 7.419988632202148, 27.410287857055664, 7.252355575561523, 10.349966049194336, 5.515052318572998, 3.857199192047119, -0.3348911702632904, 7.334657669067383, -1.3426963090896606, 5.838659763336182, -2.235724687576294, 103.42089080810547, 41.193477630615234, 30.593456268310547, 20.146556854248047, 15.501060485839844, 14.651311874389648, 11.046746253967285, 9.964483261108398, 9.374165534973145, 8.23381519317627, 9.375113487243652, 8.764477729797363, 8.847582817077637]",0.12271064731584543,2596.4756129663297,5490.230262225839,"[20.83049926138392, 14.540852232782395, 18.253250135617236, 18.33044041122828, 18.36323413664575, 17.87614238130804, 45.70765947631439]","[0.39739757776260376, 0.45533961057662964, 0.496651828289032, 0.4160446524620056, 0.4005376994609833, 0.38122260570526123, 0.4544629156589508, 0.4767487347126007, 0.37652239203453064, 0.4376968741416931, 0.3342333734035492, 0.36549824476242065]",143.5546875,G,0.1547316610813141,0.8654918709887766,0.7,/Users/alessandro/Music/personal_dataset/reggae/two-tone/02. The Selecter - On My Radio.flac,185.66666666666666,185.66666666666666,22050,reggae,two-tone,reggae_two-tone,02. The Selecter - On My Radio.flac,personal,2025-09-20 14:47:07.173728
"[-7.305952548980713, 44.156612396240234, -11.876648902893066, 28.379541397094727, 7.455906391143799, 7.132689952850342, -8.141958236694336, 5.045927047729492, -9.778435707092285, -1.4565472602844238, -3.1958119869232178, 3.9622600078582764, -0.4336177408695221, 87.88850402832031, 20.955881118774414, 21.499141693115234, 19.53420639038086, 17.13945770263672, 12.925103187561035, 11.433868408203125, 9.287672996520996, 15.952399253845215, 6.847149848937988, 8.377592086791992, 8.22391128540039, 7.445769786834717]",0.1986097911860319,3376.26841381558,6614.203343743446,"[19.750016287577154, 16.44004499062182, 18.795557082381162, 19.269101429328458, 19.533817532371234, 18.395308672738665, 47.57402096996807]","[0.5530727505683899, 0.4639013111591339, 0.5297563672065735, 0.5233503580093384, 0.423968642950058, 0.39118364453315735, 0.37489446997642517, 0.5149952173233032, 0.3346434235572815, 0.33988234400749207, 0.4041273295879364, 0.44998303055763245]",103.359375,C,0.2352067530155182,1.0,0.7,/Users/alessandro/Music/personal_dataset/reggae/two-tone/03. Madness - One Step Beyond (2009 Remaster).flac,138.37333333333333,138.37333333333333,22050,reggae,two-tone,reggae_two-tone,03. Madness - One Step Beyond (2009 Remaster).flac,personal,2025-09-20 14:47:07.173728
"[-116.72163391113281, 73.72522735595703, 2.2709598541259766, 31.28057861328125, 4.612607002258301, 16.774494171142578, 1.198927640914917, 6.393429756164551, 1.1668665409088135, 2.7603189945220947, -2.9955930709838867, 2.19773268699646, -3.177002191543579, 105.69136047363281, 33.042606353759766, 29.003192901611328, 17.965410232543945, 15.538267135620117, 12.344475746154785, 10.61094856262207, 11.459434509277344, 10.323383331298828, 9.426314353942871, 8.372199058532715, 8.14866828918457, 7.3903303146362305]",0.1126429704283029,2564.426132152612,5369.197805304277,"[27.127198021800908, 16.20631938344983, 20.43687805710167, 19.099291746556872, 19.217639277643862, 17.831216780305887, 47.36933187514026]","[0.5313393473625183, 0.3957977592945099, 0.36519676446914673, 0.3159739673137665, 0.46261319518089294, 0.40554800629615784, 0.3433534801006317, 0.43796277046203613, 0.3705582618713379, 0.42027291655540466, 0.31874504685401917, 0.4531307816505432]",103.359375,C,0.14628200232982635,0.8548087107175373,0.7,/Users/alessandro/Music/personal_dataset/reggae/two-tone/09. The Specials - A Message to You Rudy (2015 Remaster).flac,172.92,172.92,22050,reggae,two-tone,reggae_two-tone,09. The Specials - A Message to You Rudy (2015 Remaster).flac,personal,2025-09-20 14:47:07.173728
"[-19.542015075683594, 69.3250961303711, -13.657256126403809, 47.75040817260742, 17.09734535217285, 8.590869903564453, 4.052441120147705, 8.790980339050293, 6.2904486656188965, 2.4917562007904053, 2.77593994140625, 5.62053918838501, -5.307009220123291, 90.37667083740234, 26.999425888061523, 17.934181213378906, 13.538326263427734, 10.535826683044434, 7.630764961242676, 9.581911087036133, 7.691415309906006, 7.34075403213501, 6.633058547973633, 6.083962917327881, 5.795970916748047, 5.5427703857421875]",0.13079085606034602,2595.1141213251067,5102.288489005861,"[23.378664495839885, 15.57439362791634, 17.95633778096864, 17.49428979651356, 17.870956716728962, 18.172163565919547, 46.28065764463238]","[0.43125444650650024, 0.5557092428207397, 0.4587840735912323, 0.5679196715354919, 0.4904293417930603, 0.41780200600624084, 0.3555399179458618, 0.43082475662231445, 0.5752559304237366, 0.4509619474411011, 0.4106254577636719, 0.37310102581977844]",143.5546875,D,0.24344901740550995,0.8650380404417022,0.7,/Users/alessandro/Music/personal_dataset/reggae/two-tone/11. Less Than Jake - Johnny Quest Thinks We're Sellouts.flac,169.10603174603173,169.10603174603173,22050,reggae,two-tone,reggae_two-tone,11. Less Than Jake - Johnny Quest Thinks We're Sellouts.flac,personal,2025-09-20 14:47:07.173728
"[-25.30040168762207, 83.67666625976562, 2.866128444671631, 19.02342414855957, 4.826149940490723, 7.122044563293457, 7.4169230461120605, 5.753236770629883, 5.591536998748779, 2.79377818107605, -1.3833656311035156, 5.497475624084473, -3.2429542541503906, 78.6450424194336, 24.324047088623047, 16.733356475830078, 13.0065279006958, 10.221814155578613, 9.274572372436523, 8.706274032592773, 8.907204627990723, 7.33685302734375, 7.596872329711914, 6.848351001739502, 6.47365140914917, 5.821523189544678]",0.12364633596537992,2645.048186919818,5955.164854527972,"[21.413279406182024, 15.440017813509446, 17.463989055053574, 17.83259514948527, 17.735555760673613, 17.2184369230764, 46.90842119074349]","[0.3862111270427704, 0.41778460144996643, 0.550455629825592, 0.42107221484184265, 0.4162139594554901, 0.4741232097148895, 0.3492051661014557, 0.3714334964752197, 0.33071574568748474, 0.4278622269630432, 0.49708205461502075, 0.3492409288883209]",143.5546875,C,0.21249596774578094,0.8816827289732726,0.7,/Users/alessandro/Music/personal_dataset/reggae/two-tone/10. No Doubt - Spiderwebs.flac,266.76,266.76,22050,reggae,two-tone,reggae_two-tone,10. No Doubt - Spiderwebs.flac,personal,2025-09-20 14:47:07.173728
"[-71.1348648071289, 76.04438781738281, 11.149423599243164, 28.59248924255371, 0.7606311440467834, 14.708650588989258, -2.334634304046631, 6.488386154174805, -0.6351660490036011, 4.745140552520752, -0.4937610626220703, 5.230147361755371, -0.4704878330230713, 91.73575592041016, 28.50151252746582, 20.468975067138672, 13.055932998657227, 14.378690719604492, 9.907891273498535, 10.578590393066406, 9.02499771118164, 7.788577556610107, 9.384610176086426, 9.062723159790039, 8.371673583984375, 7.38651704788208]",0.10570886547836081,2579.1165043225874,5664.60356485564,"[24.993301201005035, 15.215051071466736, 19.46989682744508, 19.161454812731325, 18.823849124414455, 17.89992516151652, 47.82000048400348]","[0.449341356754303, 0.3530134856700897, 0.41565555334091187, 0.3676154315471649, 0.4412924647331238, 0.43642038106918335, 0.4074784815311432, 0.46354228258132935, 0.37307605147361755, 0.42090272903442383, 0.37066450715065, 0.37854403257369995]",143.5546875,C,0.183274045586586,0.8597055014408624,0.7,/Users/alessandro/Music/personal_dataset/reggae/two-tone/13. Hepcat - No Worries.flac,219.70666666666668,219.70666666666668,22050,reggae,two-tone,reggae_two-tone,13. Hepcat - No Worries.flac,personal,2025-09-20 14:47:07.173728
"[-4.656750202178955, 89.85559844970703, -13.444727897644043, 20.041259765625, -6.884275436401367, 11.92190170288086, 6.92809534072876, 9.323283195495605, 3.7557647228240967, 3.0613598823547363, 0.7749619483947754, -3.124556541442871, 0.21210813522338867, 66.64779663085938, 28.102415084838867, 17.69103240966797, 13.50296688079834, 15.100375175476074, 9.178156852722168, 8.623753547668457, 7.36775016784668, 8.291686058044434, 6.876486301422119, 6.631529331207275, 6.468085289001465, 6.14719820022583]",0.11656355217716093,2456.3141739588727,5161.950419280757,"[17.106306944445578, 14.552097391656497, 17.349956125824665, 17.420499057035315, 17.275074541984583, 17.130059589032175, 45.91492428265039]","[0.37656736373901367, 0.4527154266834259, 0.41741806268692017, 0.44432082772254944, 0.5159003138542175, 0.30284151434898376, 0.29635006189346313, 0.35059991478919983, 0.4383380115032196, 0.6045761108398438, 0.5326074957847595, 0.43592604994773865]",184.5703125,D,0.24489067494869232,0.8187713913196243,0.4,/Users/alessandro/Music/personal_dataset/reggae/two-tone/06. Operation Ivy - Sound System (2007 Remaster).flac,134.02666666666667,134.02666666666667,22050,reggae,two-tone,reggae_two-tone,06. Operation Ivy - Sound System (2007 Remaster).flac,personal,2025-09-20 14:47:07.173728
"[-48.5585823059082, 72.50862884521484, -4.504452705383301, 42.282772064208984, 9.214609146118164, 9.689215660095215, 1.423405408859253, 8.36972713470459, -5.152841091156006, 7.823455333709717, -0.1326173096895218, 2.584587335586548, -3.6551566123962402, 88.18968963623047, 22.307270050048828, 20.639883041381836, 14.854121208190918, 11.639848709106445, 9.967509269714355, 9.992325782775879, 8.415875434875488, 9.310433387756348, 7.536559581756592, 7.288884162902832, 7.280505657196045, 6.475894927978516]",0.13038755565184884,2582.3768685940586,5251.680687162266,"[24.117958877295354, 14.444512096546651, 17.64597422566422, 17.37514936461346, 17.60555726006651, 17.992742118416157, 47.99586522840322]","[0.38155239820480347, 0.45005789399147034, 0.5800064206123352, 0.5087383985519409, 0.5238046646118164, 0.4376692771911621, 0.44587191939353943, 0.4504067897796631, 0.4632449746131897, 0.5642324686050415, 0.4157748818397522, 0.43161579966545105]",86.1328125,D,0.18559633195400238,0.8607922895313529,0.4,/Users/alessandro/Music/personal_dataset/reggae/two-tone/15. The Toasters - Don't Let the Bastards Grind You Down.flac,170.8,170.8,22050,reggae,two-tone,reggae_two-tone,15. The Toasters - Don't Let the Bastards Grind You Down.flac,personal,2025-09-20 14:47:07.173728
"[-113.34810638427734, 94.80301666259766, -27.1177921295166, 16.528085708618164, 8.976370811462402, 11.736763954162598, 4.1574530601501465, 9.378936767578125, -1.8560349941253662, 2.6871042251586914, 0.7545560002326965, 1.0674116611480713, -2.218618154525757, 110.89631652832031, 36.449554443359375, 36.8838005065918, 23.773447036743164, 19.87858009338379, 12.673820495605469, 11.730979919433594, 9.59367561340332, 10.553940773010254, 8.0159330368042, 8.439674377441406, 7.419778823852539, 7.77643346786499]",0.10565599318080071,2158.869247134466,4302.690943076074,"[24.524633128731395, 14.5987722103438, 19.068584423705445, 19.15551443425051, 19.42673927943075, 18.998812962072847, 46.6474618405576]","[0.41919636726379395, 0.4009246826171875, 0.5113346576690674, 0.44708874821662903, 0.35267871618270874, 0.39243751764297485, 0.40930724143981934, 0.5019463300704956, 0.39846307039260864, 0.3597782254219055, 0.37839749455451965, 0.3907119929790497]",73.828125,G,0.17165997624397278,0.7196230823781554,0.4,/Users/alessandro/Music/personal_dataset/reggae/two-tone/01. The Specials - Ghost Town (Extended Version [2021 Remaster]).flac,363.06666666666666,363.06666666666666,22050,reggae,two-tone,reggae_two-tone,01. The Specials - Ghost Town (Extended Version [2021 Remaster]).flac,personal,2025-09-20 14:47:07.173728
